,artistName,count,genres,popularity
0,Bloc Party,539,"['alternative dance', 'alternative rock', 'dance-punk', 'indie rock', 'indietronica', 'modern rock', 'neo-synthpop', 'new rave', 'scottish rock']",60
1,Sega Bodega,223,"['deconstructed club', 'escape room', 'hyperpop', 'proto-hyperpop']",44
2,Central Cee,216,['melodic drill'],79
3,Gold Panda,189,"['chillwave', 'electronica', 'future garage', 'indietronica', 'microhouse', 'wonky']",40
4,Young Fathers,186,"['abstract hip hop', 'art pop', 'chamber psych', 'scottish hip hop']",50
5,Charli XCX,173,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",75
6,Norah Jones,168,"['contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",72
7,Clavish,163,"['uk drill', 'uk hip hop']",62
8,FKA twigs,158,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']",62
9,Bicep,156,"['ambient house', 'electronica']",62
10,Fennec,154,[],25
11,Fred again..,151,"['edm', 'house', 'stutter house']",76
12,Mount Kimbie,140,"['electra', 'electronica', 'future garage', 'indie soul', 'indietronica', 'intelligent dance music', 'wonky']",51
13,Jamie xx,136,"['electronica', 'future garage', 'indie soul', 'indietronica']",60
14,Ross from Friends,131,"['electronica', 'future garage', 'lo-fi house']",49
15,Mura Masa,129,"['channel islands indie', 'hyperpop', 'indie soul', 'vapor soul']",62
16,TSHA,123,['uk house'],55
17,Iglooghost,118,['proto-hyperpop'],35
18,Tycho,117,"['downtempo', 'electronica', 'indietronica', 'intelligent dance music']",57
19,Shygirl,116,"['alternative r&b', 'art pop', 'electra', 'escape room', 'grimewave', 'hyperpop']",57
20,slowthai,113,"['uk alternative hip hop', 'uk hip hop']",61
21,Japanese Breakfast,112,"['art pop', 'eugene indie', 'indie pop', 'indie rock', 'philly indie']",59
22,Mr. Oizo,111,['filter house'],58
23,Barry Can't Swim,111,[],56
24,Kai Whiston,107,"['deconstructed club', 'proto-hyperpop']",30
25,Flume,103,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indietronica']",72
26,Yaeji,98,"['alternative r&b', 'art pop', 'escape room', 'experimental house']",54
27,Jeshi,97,['uk alternative hip hop'],43
28,The Streets,97,"['birmingham hip hop', 'uk garage']",56
29,Priya Ragu,95,['zurich indie'],40
30,Tommy Genesis,92,"['alternative r&b', 'bc underground hip hop', 'canadian hip hop', 'canadian trap', 'escape room', 'trap queen']",61
31,Joy Crookes,91,"['alternative r&b', 'uk contemporary r&b']",59
32,BABii,91,[],32
33,Vegyn,90,['experimental hip hop'],47
34,Kojaque,89,['irish hip hop'],32
35,Headie One,88,['uk hip hop'],66
36,Darkstar,87,"['future garage', 'wonky']",24
37,Unknown T,86,['uk hip hop'],58
38,Floating Points,83,"['electronica', 'intelligent dance music', 'wonky']",49
39,Xadi,83,['london rap'],33
40,Tourist,79,"['chillwave', 'indie soul', 'indietronica', 'vapor soul']",56
